Model,VIN,Uph,Retail Date,MSRP,Wholesale date,Trade,Client order,Paints,Lot life,Defect
GLA45W4,WDDTG5CB2JJ434103,Black,5/4/2019,65025,9/21/2017,0,0,Red,590,1
GLE450W4,4JGFB5KEXLA044088,Black,4/30/2019,88010,4/26/2019,0,1,Black,4,0
G63W4,WDCYC7HJ1KX320626,Black,4/30/2019,161345,4/30/2019,0,1,Black,0,0
E450A4,WDD1K6JB5KF107827,Beige,4/30/2019,81370,4/30/2019,0,1,White,0,0
GLA45W4,WDDTG5CB4JJ497980,Black,4/30/2019,61645,3/15/2018,0,0,Black,411,1
GLC300W4,WDC0G4KB7KV152004,Beige,4/29/2019,49935,4/26/2019,1,0,Blue,3,0
GLE63W4,4JGDA7EB4KB187196,Black,4/29/2019,114875,11/15/2018,0,0,Black,165,1
GLC350E4,WDC0G5EB7KF631924,Beige,4/29/2019,61195,4/24/2019,1,0,Silver,5,0
GLC300W4,WDC0G4KB0KV166102,Beige,4/29/2019,48915,2/27/2019,0,0,Black,61,0
C300W4,55SWF8EB5KU299411,Black,4/27/2019,49975,11/24/2018,0,0,Black,154,1
C63AS,WDDWK8HB0KF859412,Black,4/27/2019,93880,4/24/2019,1,0,Grey,3,0
C300W4,55SWF8EB5KU299473,Brown,4/27/2019,54515,12/3/2018,0,0,Blue,145,1
GLC300W4,WDC0G4KB1KV165914,Beige,4/27/2019,48915,2/27/2019,0,0,White,59,0
SL550R,WDDJK7DA7KF056162,Brown,4/27/2019,120940,12/31/2018,0,0,White,117,1
GLC300W4,WDC0G4KB5KV163051,Beige,4/27/2019,48285,2/27/2019,0,0,Blue,59,0
CLS450C4,WDD2J5KB7KA021013,Grey,4/27/2019,84080,11/18/2018,0,0,Blue,160,1
GT63C4S,WDD7X8KB7KA003603,Grey,4/26/2019,194065,3/11/2019,0,0,Grey,46,0
GLE63W4,4JGDA7EB9KB194029,Beige,4/26/2019,111145,11/15/2018,0,0,White,162,1
GLC300W4,WDC0G4KB2KV166330,Beige,4/26/2019,48915,2/27/2019,0,0,White,58,0
S560V4,WDDUG8GB0KA483527,White,4/26/2019,119295,4/19/2019,0,1,Black,7,0
E63S4S,WDDZH8KB7KA653540,White,4/26/2019,128515,4/18/2019,0,1,Black,8,0
